# Time,IC-RP,norm_IC-RP,nrm_var_IC-RP,gen_IMS-RP,var_IMS-RP,EC-RP,norm_EC-RP,nrm_var_EC-RP,Frame
14040,1.1978,0.852922591,0.0146111604,0.9952,9.9041E-03,0.9501,0.767037658,0.005063329,78
14220,1.2113,0.874249605,0.0164785798,0.9969,9.9384E-03,0.9614,0.784265894,0.004274061,79
14400,1.2027,0.860663507,0.0150958297,0.9980,9.9604E-03,0.9697,0.796920262,0.004638251,80
14580,1.2251,0.896050553,0.0159311097,0.9987,9.9746E-03,0.9778,0.809269706,0.003357619,81
14760,1.2398,0.919273302,0.0132087908,0.9992,9.9837E-03,0.9836,0.818112517,0.003682486,82
14940,1.2438,0.925592417,0.0110623416,0.9995,9.9895E-03,0.9867,0.822838847,0.004840984,83
15120,1.2399,0.91943128,0.0099291438,0.9997,9.9933E-03,0.9831,0.817350206,0.004031961,84
15300,1.2528,0.939810427,0.0083667749,0.9998,9.9957E-03,1.0097,0.857905168,0.00463315,85
15480,1.2533,0.940600316,0.0084081710,0.9999,9.9972E-03,0.9980,0.840067083,0.005205812,86
15660,1.2732,0.972037915,0.0109997462,0.9999,9.9982E-03,1.0044,0.849824668,0.005671262,87
15840,1.2594,0.950236967,0.0128838764,0.9999,9.9989E-03,1.0121,0.861564263,0.006368892,88
16020,1.2644,0.958135861,0.0070955885,1.0000,9.9993E-03,1.0172,0.869339838,0.00628797,89
16200,1.2526,0.939494471,0.0098522146,1.0000,9.9995E-03,1.0208,0.87482848,0.006871395,90
16380,1.2644,0.958135861,0.0093430447,1.0000,9.9997E-03,1.0223,0.877115414,0.006947954,91
16560,1.2749,0.974723539,0.0098628385,1.0000,9.9998E-03,1.0362,0.898307669,0.007379986,92
16740,1.2776,0.978988942,0.0053383440,1.0000,9.9999E-03,1.0409,0.905473395,0.009077107,93
16920,1.2821,0.986097946,0.0040815196,1.0000,9.9999E-03,1.0402,0.904406159,0.008538961,94
17100,1.2459,0.928909953,0.0056583148,1.0000,9.9999E-03,1.0422,0.907455405,0.008328128,95
17280,1.2790,0.981200632,0.0057105341,1.0000,1.0000E-02,1.0418,0.906845556,0.007304497,96
17460,1.2659,0.960505529,0.0068705742,1.0000,1.0000E-02,1.0369,0.899374905,0.00803606,97
17640,1.2889,0.996840442,0.0045694490,1.0000,1.0000E-02,1.0407,0.905168471,0.006582715,98
17820,1.2847,0.990205371,0.0058837196,1.0000,1.0000E-02,1.0376,0.900442141,0.00696706,99
18000,1.2782,0.979936809,0.0063541221,1.0000,1.0000E-02,1.0386,0.901966763,0.004754135,100
18180,1.2909,1,0.0046846012,1.0000,1.0000E-02,1.0612,0.936423235,0.00197854,101
18360,1.2729,0.971563981,0.0057800149,1.0000,1.0000E-02,1.0546,0.926360726,0.00338741,102
18540,1.2621,0.95450237,0.0049547573,1.0000,1.0000E-02,1.0609,0.935965848,0.003324317,103
18720,1.2631,0.956082148,0.0041240808,1.0000,1.0000E-02,1.0666,0.944656198,0.002972725,104
18900,1.2505,0.936176935,0.0054688555,1.0000,1.0000E-02,1.0673,0.945723433,0.002359844,105
19080,1.2638,0.957187994,0.0029676308,1.0000,1.0000E-02,1.0695,0.949077603,0.002304704,106
19260,1.2572,0.946761453,0.0039719388,1.0000,1.0000E-02,1.0727,0.953956396,0.002518006,107
19440,1.2419,0.922590837,0.0055297282,1.0000,1.0000E-02,1.0723,0.953346547,0.003221114,108
19620,1.2456,0.928436019,0.0054963961,1.0000,1.0000E-02,1.0861,0.974386339,0.004134466,109
19800,1.2481,0.932385466,0.0048226709,1.0000,1.0000E-02,1.0890,0.978807745,0.003007026,110
19980,1.2589,0.949447077,0.0042428456,1.0000,1.0000E-02,1.0995,0.994816283,0.003669245,111
20160,1.2734,0.97235387,0.0043663238,1.0000,1.0000E-02,1.1029,1,0.003072907,112
