"# Time","IC-RP","norm IC-RP","EC-RP","norm EC-RP","SMAC gen"
28800,1.108,0.4946466809,1.121,0.8261904762,0.9999982397
28980,1.126,0.5139186296,1.12,0.825,0.9999984465
29160,1.119,0.5064239829,1.129,0.8357142857,0.999998629
29340,1.122,0.5096359743,1.134,0.8416666667,0.9999987901
29520,1.11,0.4967880086,1.134,0.8416666667,0.9999989323
29700,1.114,0.5010706638,1.133,0.8404761905,0.9999990578
29880,1.125,0.5128479657,1.135,0.8428571429,0.9999991685
30060,1.078,0.4625267666,1.135,0.8428571429,0.9999992662
30240,1.133,0.5214132762,1.133,0.8404761905,0.9999993524
30420,1.167,0.5578158458,1.121,0.8261904762,0.9999994285
30600,1.157,0.5471092077,1.126,0.8321428571,0.9999994957
30780,1.201,0.5942184154,1.13,0.8369047619,0.9999995549
30960,1.149,0.5385438972,1.126,0.8321428571,0.9999996072
31140,1.187,0.5792291221,1.125,0.830952381,0.9999996534
31320,1.23,0.625267666,1.128,0.8345238095,0.9999996941
31500,1.246,0.6423982869,1.135,0.8428571429,0.99999973
31680,1.265,0.6627408994,1.129,0.8357142857,0.9999997618
31860,1.232,0.6274089936,1.12,0.825,0.9999997898
32040,1.228,0.6231263383,1.121,0.8261904762,0.9999998145
32220,1.294,0.6937901499,1.121,0.8261904762,0.9999998363
32400,1.283,0.682012848,1.119,0.8238095238,0.9999998555
32580,1.267,0.664882227,1.143,0.8523809524,0.9999998725
32760,1.24,0.6359743041,1.147,0.8571428571,0.9999998875
32940,1.271,0.6691648822,1.138,0.8464285714,0.9999999007
33120,1.301,0.7012847966,1.146,0.855952381,0.9999999124
33300,1.266,0.6638115632,1.141,0.85,0.9999999227
33480,1.291,0.6905781585,1.14,0.8488095238,0.9999999317
33660,1.261,0.6584582441,1.138,0.8464285714,0.9999999398
33840,1.287,0.6862955032,1.136,0.844047619,0.9999999468
34020,1.277,0.6755888651,1.154,0.8654761905,0.9999999531
34200,1.276,0.6745182013,1.148,0.8583333333,0.9999999586
34380,1.297,0.6970021413,1.146,0.855952381,0.9999999635
34560,1.384,0.7901498929,1.159,0.8714285714,0.9999999678
34740,1.352,0.755888651,1.155,0.8666666667,0.9999999715
34920,1.345,0.7483940043,1.155,0.8666666667,0.9999999749
35100,1.311,0.7119914347,1.158,0.8702380952,0.9999999778
35280,1.356,0.7601713062,1.158,0.8702380952,0.9999999804
35460,1.408,0.8158458244,1.169,0.8833333333,0.9999999827
35640,1.406,0.8137044968,1.165,0.8785714286,0.9999999848
35820,1.417,0.8254817987,1.171,0.8857142857,0.9999999866
36000,1.407,0.8147751606,1.173,0.8880952381,0.9999999881
36180,1.342,0.7451820128,1.174,0.8892857143,0.9999999895
36360,1.345,0.7483940043,1.187,0.9047619048,0.9999999908
36540,1.371,0.7762312634,1.196,0.9154761905,0.9999999918
36720,1.351,0.7548179872,1.21,0.9321428571,0.9999999928
36900,1.442,0.852248394,1.206,0.9273809524,0.9999999937
37080,1.356,0.7601713062,1.212,0.9345238095,0.9999999944
37260,1.402,0.8094218415,1.205,0.9261904762,0.9999999951
37440,1.37,0.7751605996,1.211,0.9333333333,0.9999999956
37620,1.354,0.7580299786,1.207,0.9285714286,0.9999999961
37800,1.389,0.795503212,1.208,0.9297619048,0.9999999966
37980,1.442,0.852248394,1.223,0.9476190476,0.999999997
38160,1.453,0.8640256959,1.214,0.9369047619,0.9999999974
38340,1.458,0.869379015,1.212,0.9345238095,0.9999999977
38520,1.553,0.9710920771,1.209,0.930952381,0.9999999979
38700,1.484,0.8972162741,1.21,0.9321428571,0.9999999982
38880,1.488,0.9014989293,1.217,0.9404761905,0.9999999984
39060,1.508,0.9229122056,1.215,0.9380952381,0.9999999986
39240,1.492,0.9057815846,1.21,0.9321428571,0.9999999987
39420,1.534,0.9507494647,1.215,0.9380952381,0.9999999989
39600,1.472,0.8843683084,1.221,0.9452380952,0.999999999
39780,1.522,0.9379014989,1.223,0.9476190476,0.9999999991
39960,1.419,0.8276231263,1.235,0.9619047619,0.9999999992
40140,1.473,0.8854389722,1.231,0.9571428571,0.9999999993
40320,1.42,0.8286937901,1.233,0.9595238095,0.9999999994
40500,1.413,0.8211991435,1.23,0.955952381,0.9999999995
