# Name,EARM1,m1,m2
kbarc8f,1e-06,1.17189114938e-06,6.93603884003e-07
kbarc8r,0.001,0.00117187971403,0.00174078578508
kbaxCbaxMf,0.01,4.93018555477e-06,1.8712106897e-05
kbaxCbaxMr,0.01,0.00226675397815,0.000421973243642
kbaxcytocMCc,10.0,8.44202176873,7.95521162206
kbaxcytocMCf,2.857143e-05,2.38644247718e-05,3.33870333241e-05
kbaxcytocMCr,0.001,0.000971348999146,0.00101469055043
kbaxdimf,0.0002040816,0.000183425156875,0.0347201925833
kbaxdimr,0.001,1.24635646957e-05,2.84467409347e-07
kbaxsmacCAc,10.0,8.15558627691,11.1807676359
kbaxsmacCAf,2.857143e-05,2.08236299738e-05,2.8967205058e-05
kbaxsmacCAr,0.001,0.00100716416865,0.000576814891702
kbaxtetf,0.0002040816,1.04410944713e-05,3.96561042783e-06
kbaxtetr,0.001,0.00198607646434,0.0467438432204
kbaxtrimf,0.0002040816,0.000747224947474,0.105407895211
kbaxtrimr,0.001,0.000107177579997,2.59528426525e-07
kbclxlCbclxlMf,0.01,0.00950304172063,0.873061713652
kbclxlCbclxlMr,0.01,0.0044178232653,3.0340630353e-05
kbidTbidMf,0.01,0.125761900917,0.0154964115079
kbidTbidMr,0.01,0.106222436599,0.277397110974
kbidbcl2f,1.428571e-05,3.35074368153e-06,2.21573659007e-09
kbidbcl2r,0.001,0.000590162307534,0.023911948971
kbidbclxlf,1.428571e-05,8.77634350265e-06,0.000251894646413
kbidbclxlr,0.001,0.00293024965232,0.000112239667489
kbidmbaxc,1.0,0.0323275270812,0.0154442939597
kbidmbaxf,1e-07,2.43284875822e-09,2.30175869233e-08
kbidmbaxr,0.001,0.000885115604093,3.56089723896e-05
kbidtbakc,1.0,0.554990017366,0.00341431092078
kbidtbakf,1e-07,5.35220906927e-08,2.93671973637e-05
kbidtbakr,0.001,0.000432207198403,2.24175050842e-05
kbidtbaxc,1.0,2.6967698209,0.536486635137
kbidtbaxf,1e-07,1.0275330235e-06,2.01529585241e-08
kbidtbaxr,0.001,0.000788813192511,7.68704288184e-05
kc3c6c,1.0,0.818341623193,1.29843406261
kc3c6f,1e-06,1.7378137844e-06,1.13414319175e-06
kc3c6r,0.001,0.0010166387087,0.000331716762406
kc3parpc,1.0,1.05242450107,0.444665855377
kc3parpf,1e-06,1.67082461786e-06,1.5619068371e-06
kc3parpr,0.01,0.01040622271,0.00106064938116
kc6c8c,1.0,0.879478376655,1.42185927903
kc6c8f,3e-08,4.46077308683e-08,3.79933179896e-08
kc6c8r,0.001,0.00108740644741,0.00123636956467
kc8bidc,1.0,0.0442425189943,0.116248332477
kc8bidf,1e-06,3.65970285106e-07,1.01311061085e-07
kc8bidr,0.001,0.000669418272363,8.54695555128e-06
kc8c3c,1.0,0.744533433162,0.430145563615
kc8c3f,1e-07,1.68230408749e-07,2.91324320654e-07
kc8c3r,0.001,0.00121402724724,0.00104212702079
kcytocCapafc,1.0,0.908848362032,1.08739627901
kcytocCapaff,5e-07,3.50460079951e-07,4.07297264487e-07
kcytocCapafr,0.001,0.00086675056376,0.00143045174119
